UTTERANCE,LABEL
I have a sailboat going upwards I have another boat and its got like a rectangle cut out and then I have like the Eiffel Tower slash a rocket ship and then the upside down mountain,1
okay got it,1
I have a sailboat with two sails its like a long boat and then I have another sailboat with one big triangle one small triangle and then I have a triangle and then i have it looks like another crab to me but its got like two arms and two feet,0
got it,1
I have a speedboat going upwards a palm tree the slanted triangle okay the second palm tree the on the leaves are in the top left corner and then its the slanted triangle and the bottom palm tree the leaves are in the bottom left corner,0
ok got it,1
okay got it,1
okay I have a ram I have an ant eater a bunny and then like a mouse on its hind legs or a squirrel,0
got it,1
I have a dragon I have a skinny crow with its head upward an upside down skinny crow and then a flying bird,0
okay I have a bunny laying down a bunny sitting up and then it almost looks like a loch ness monster kinda or like a boat with like a big thing coming off of it and then the last one is like it has like a triangle and then a parallelogram coming off of it I dont know if you know that what it looks like,0
got it,1
okay I have a big flying bird with a small head a loch ness monster a seal and then a crab,0
yeah I have a big flying bird the loch ness monster a seal and then a crab,0
got it,1
I have a crab I have a peacock I have a a flying bird with a small head and then a smaller bird,0
yeah,0
got it,0
I have a um rocket ship going to the right I have a fox and then I have two triangles on top of each other with a square on top and then I have the last shape,0
yes,1
okay got it,1
seventy percent okay I have a person a big person at the top hes holding a triangle and then I have a it looks like a pregnant lady kind of with only one leg with a square head then a person completely upside down and then the last person is like a triangle body with like the big part of the triangle to the left,1
okay what were the last two,0
okay got it,1
I have a pipe I have half a christmas tree I have a parallelogram with part of it cut off and then I have a yacht,1
got it,1
I have a fat crow a flamingo a crab and then a hummingbird,1
okay got it,1
I have a dragon a seal a flamingo and a rooster,0
yeah a dragon a seal a flamingo and a rooster,0
got it,1
no its not the the one on like two feet I guess theyre both on two feet but the one that has a parallelogram tail is going towards the right and then the first one has like a square and a parallelogram as a tail and its going to the left,1
got it,1
I have a fish the chipmunk the Loch Ness monster and an animal going to the left on one leg,0
okay i have a goat or ram going to the left i have a tornado a rocket ship going to the right an alpaca,1
crab a bird flying to the left like sparrow its bigger bird and the loch ness monster,0
got it,1
seal upside down bowl iron windmill,0
got it,1
tree sailboat straight up pipe and then sideways pipe,0
I have the arrow one the sailboat the upside down apple and then the right side up apple,0
got it,1
seal swan flamingo raptor,0
which flamingo has like the full triangle foot,0
okay got it,1
um I have a raptor a flying bird a rubber duck and flamingo,0
got it,1
um sailboat crab eraser i think and then sail er houseboat,1
got it,1
tornado bunny hand puppet weird animal going to the left,0
got it,1
ram animal on one foot cat dog going to the left,0
got it,0
bridge parallelogram boat apple,0
got it,1
uh sailboat arrow speedboat eraser,0
got it,1
cat weird animal on one foot airplane rocket ship,0
got it,1
person running to the left the skydiving person the waiter and the weird guy dancing,0
okay um the first guy is like blurry and he has like coming out of his butt hes got a triangle and then the second one is like the smaller one it looks like hes falling downward the third one is the waiter the upside down and the fourth one is like a triangle body in one of his legs is like straight out,0
got it,1
I have an upside down slope a bridge the parallelogram thats cut off and then a tree,1
got it,0
I have like a big sparrow with a triangle foot upside down flying bird a big flying bird with its head in the top right corner and then the same thing with its head in the bottom left corner,0
got it,0
I have a speed boat a key a sailboat with two sails and then like a stop sign kind of hexagon,0
got it,1
fox giraffe dog to the left and then another dog,0
yeah,0
got it,1
um triangle with cut outs desk iron seal or not a seal a shark,0
so you said upside down guy the blurry one then the handkerchief then the dancing guy,0
okay got it,1
i have a sailboat i have the windmill the bowl and then the weird avalanche,0
i have a palm tree and apple that bit out of a full apple and then a rupee i think you call,0
can you say that again the query was going,0
okay got it,1
i have a houseboat a sailboat a it um the russian guy and then the sailboat thats like sailing upward,0
um the the one on the bottom is like theres a i guess yeah that theres three shapes on about the fourth one,1
got it,1
i have a freight boat an eraser the parallelogram thats like cut off and then homeplate its like half a stop sign,1
got it,1
speedboat bridge half christmas tree sailboat,0
got it,1
i have the fox laying down that like goat going to the left hand puppet and the weird little animal on the bottom,0
got it,1
i have a car looking thing a sideways bridge houseboat a speedboat,0
got it,1
i have the ram the rocket ship the cat and kangaroo,0
got it,0
fat crow rooster seal duck,1
got it,1
I have a whale that has a mouth a tornado a rocket ship and a dog on one foot,0
got it,1
loch ness monster the kangaroo the sideways rocket ship amd the horse on two feet,0
got it,1
christmas tree apple sailboat speedboat,0
got it,1
I have a flamingo a flying bird a seal and a peacock,0
got it,1
rooster crow the peacock crab,0
got it,0
birthday cake boat with cargo um sailboat with three sails sailboat with one sail,0
drop dog turtle horse,0
got it,1
big triangle body the guy pointing up the guy kicking a football and the waiter,0
got it,0
camel mountain tree a seal,0
got it,1
have a hammer a seal the avalanche of shapes and then the weird triangle,1
got it,0
eraser home plate back of a cats head rupee,0
yeah triangle with like a rectangle on the end,0
got it,1
big flying bird um the sparrow its a large bird with a triangle foot flamingo humming bird,0
got it,1
palm tree letter c upside down sailboat cave,0
got it,1
got the um the arrowhead guy thats kind of pointing up the arrowhead guy thats had guy thats kind of pointing up arrowhead guy thats kind of pointing down the model walking downward and then the weird shape that has a parallelogram on the left side of the shape,0
yeah kind of,1
got it,1
houseboat house um birthday cake and then a small loop,0
got it,1
um i have like the shark or the airplane the rocket ship the weird animal with the pointy two legs and a parallelogram tail and then like the dog with three legs,0
ok I think I got it,1
i have the big guy running to the right the train or the square body guy the triangle bodied guy running to the right and the pregnant lady,1
got it,1
have a seal big sparrow a crab loch ness monster,1
got it,1
I have the duck with two feet the fat crow the crab the flamingo,0
I have the letter c half christmas tree triangle and the sailboat,0
okay i have a friend a sailboat a house and then a leg up and down till,1
I have a houseboat a sailboat a windmill and then arrows,0
got it,0
I have a fox a baseball field a weird animal looks like its going to the right and then I have a hand puppet,1
done,0
i have a rubber duck a flamingo crab and a hummingbird,0
have a rubber duck a flying bird a dragon and a swan,0
got it,1
a birthday cake a sailboat with like a weird sail an arrow and then an up and down sailboat,0
got it,1
i have the avalanche of shapes the triangle square the rocket ship and the weird symbol,0
got it,1
i have a house a martian dude the m and an arrow to the right,0
got it,1
have a rubber rubber duck flying bird dragon crab,0
got it,0
apple parallelogram houseboat triangle with cutouts,0
i have a dog going downward on a dog going to the left in arrow upward and then a weird shape,0
dog going down dog going to the left arrow weird shape,1
have a terrier going to the right a cat and alpaca and then the cat laying down,0
i have a guy reading a book or a square body guy the ninja kicking upwards and then the triangle,0
got it,1
i have a sailboat tetris um a house turned on its side and then like a parallelogram in a trapezoid,0
i have like the big blurry shape and almost looks like that holding a pizza a guy reading a book its also the salsa lady and triangle body,0
got it,1
I have a Loch Ness monster skinny crow fat crow swan,0
got it,0
baseball field fish going down fish going up cat laying down,0
got it,1
i have a guy on one foot with a triangle the guy running upward thats got a big body the square body and the model walking upward,0
got it,0
splits guy coffin guy lady with the handkerchief dog guy,0
got it,1
i have a blurry guy holding a pizza again the splits guy the model in the fetal position,0
got it,1
triangle square hammer unfinished desk weird house,0
got it,0
my bad my bad ram fish going downward dog and then weird little animal,0
got it oh wait-- wait say one more time,0
okay got it,0
i haveupside down windmill sideways windmill hammer triangles,0
got it,1
rocket ships sailboat avalanche of shapes triangles,0
got it,1
a hummingbird loch ness monster flamingo flamingo looking back,0
got it,1
ok I have a bunny I have an animal with a parallelogram tail on the right the animals going to the left and its like kind of on two feet then I have an animal going to the right its got like a rectangle head and then I have an animal that has like two pointy legs,1
got it,1
okay I got guy got a really long arm the guy holding a triangle the dog guy and the bike guy,0
ok I have a house a hammer Abraham Lincoln and a tetris thing,0
could you say that again I couldnt hear you,0
okay got it,0
okay I have Abraham Lincoln hammer um a house with a chimney and then a house like on a hill like with the flat roof,1
got it,0
okay I have the loch ness monster thats like right side up and upside down loch ness monster big flying bird and then a sparrow,1
got it,0
christmas tree house birthday cake windmill,0
flamingo upside down but it has like a weird wing coming out of it like triangle wing going to the right rubber duck then a flamingo with like a full triangle foot and then the loch ness monster,0
got it,0
speed boats sailboats cave thats like circular kinda looks like a c and then like a yacht or another cave,1
I got it,1
guy running to the right guys splits guy weird shape and then big triangle body guy,1
okay this big sparrow bird thats going downward and then the sparrow going to the left and then flying duck,0
got it,0
okay a guy holding a pizza its kind of blurry picture race car guy going upward than the somersault guy and then the guy reading a book,1
got it,1
pot christmas tree letter b sailboat,0
got it,1
um flamingo chicken with a long tail flying bird hummingbird,0
got it,0
swan crow hummingbird thats going to the bottom right corner hummingbird going to the top right corner,0
yeah I was answering a query,0
got it,1
seal candlestick houseboat house,0
got it,1
crow flamingo seal to the left seal down,0
got it,1
fat crow flamingo looking back duck flamingo looking back but its going upwards the second shape is completely upside down flamingo,0
got it,1
giraffe whale slash tornado turtle loch ness monster,0
a giraffe oil turtle loch ness monster,0
got it,1
sorry I have an arrow going up a rocket ship going to the right um a ram and then it kinda looks like a dog,0
loch ness monster flamingo flamingo looking back seal,0
got it,1
sailboat upside down boat with cargo flame thats sideways flame thats like straight up and down,0
got it,1
camel bunny loch ness monster two triangles on top of each other,0
got it,0
rubber duck chicken with a long tail flamingo looking back crab,1
got it,1
I have a dog going to the left an ant eater a cat and a chipmunk,0
have a sparrow a big bird a flying bird a dragon a chicken with a long tail,0
Im sorry can you say that again,0
got it,1
I have the back of a cats head a triangle a speed boat and a palm tree,0
it looks like hes dancing but I got it,1
the flamingo upside down a hummingbird a loch ness monster and then a flying bird,1
got it,0
crow flamingo crab seal,0
got it,0
camel fish going downwards if you turn your head to the right the third one kind of looks like an indian or a robot to me and then if you keep turning your head to the right the last onekinda looks like pluto,0
the third one I think,0
sorry uh repeat that,0
got it,0
okay I have a candle a upside down boat with like a rectangle on it a house and then a birthday cake,1
okay,0
okay I have a big bridge a pipe a bitten into apple and then a stove with like a square cut out a diamond,0
got it,1
ope,0
nothing did you hit done,0
there we go okay I have a rubber duck I have a fat crow I have a really fat bird and then I have a flying bird upward,1
got it,0
I have Abraham Lincoln the Russian dude the hammer and then the boat,1
got it,1
got it,1
okay I have the fat bird I have a flying bird with a small head I have the flamingo looking backwards and then I like a hummingbird,0
got it,1
okay I have a pot a speed boat a I think you call this an eraser with part cut off and apple,0
got it,1
I have an arrow going downwards a cat I have like the boston terrier dog thing and then I have the baseball field,0
got it,0
I have a hammer I have a sailboat the Russian dude and then the boat with the cargo,0
got it,1
okay I have the peacock the hummingbird the flamingo and the crab,0
gotcha,1
oh okay i have the person in the fetal position the person riding a bike um the person like in a go kart but theyre laying down with like a square head and then i have the weird shape that kind of looks like they have a square head its kind of a big shape,1
fetal position bike the race car going upwards and then the last big shape,0
got it,1
okay I have the arrow I have the arrow downward I have the arrow upward the bunny laying down and then the weird thing at the bottom,0
gotcha,1
I have the fat bird the loch ness monster the big loch ness monster the small loch ness monster slash snake and then the flamingo,0
got it,1
okay I have the triangle body going upwards the butler person standing on one leg the crouch over somersault guy is third and then the weird big last shape is at the end,1
I got it but the first one looks like a seal to me,1
got it,1
ok I have a key a palm tree a speedboat and then the boat with the pole on top,0
got it,1
okay I have the erasor scissors the sailboat and the key ,1
um is the last one the one she has like looks like shes old fashioned and shes holding a handkerchief,0
okay I got it,1
okay I have a big bird I have a loch ness monster I have a flying bird and then a smaller loch ness monster,0
got it,1
i have the butler that straight up holding a triangle i have the guy thats upside down but his legs are towards the top left corner and then i have a guy whos completely upside down but hes like straight up and down and then i have the butler um thats on one foot thats like going downward,1
does the first one almost look like a hand puppet with a parallelogram as hair,0
okay,0
oh okay I have the triangle body the race car dude um this guy with a long flipper arm and then a person running upward,1
got it,1
okay I have it,1
ok i have a dog going downwards i have a horse kind of with a really long tail then i have a crab its like a rectangle with like four different shapes coming out of each of the corners and then i dont really know what the last shape is it kind of looks like to me it looks like pluto and its too its like hes going downwards and his mouth is like those two open triangles,1
got it,1
does it almost look like a hand puppet with a slanted triangle on the end of it,0
okay got it,0
I have a flamingo I have a chicken with long tail I have a duck with two feet and I have a crab,1
okay I have it,1
ok i have a fish i have an arrow going downwards i have a it looks like almost like an ant eater kind of its got like two bigger legs on the bottom and then it has a tail going up in the right corner and then like uh it almost looks like it has no neck and then the bottom one to me looks like a squirrel its going downwards and its tails like going up to the top part,0
got it,0
okay I have a dog a laying down bunny and then to me this kind of looks like a goat with um like horns on the top its head is going like the top left corner and then the little parallelogram coming off of it is like the horns and then the two triangles are like its legs I dont know if you got that,0
no switch those two,1
got it,1
I have an upside down mountain a triangle square a big pyramid with two cut outs and Abraham Lincoln,1
got it,1
palm tree square speedboat um sailboat,0
I meant triangle not square for the second one,1
thats the last one,0
ok oh sorry,1
got it,0
i got it,1
okay i have a person skydiving and then i have a person thats completely upside down its like holding a triangle and then i think the second or the third one looks like a lady the head is like the square part and then she is like a long like old fashioned dress on and shes holding a square and then the last one is one second,1
and then the last one is that same shape but its tipped on its side,0
does it almost look like an apple with a chunk out,0
okay then I got it,0
okay have a cat sitting down I have a bunny laying down I have a turtle and then I have pluto like the disney character I think,0
yep I got it,1
its home plate the slope the stove and the freight boat,0
does the third one look like a horse,1
okay I have a half christmas tree I have a slant or a parallelogram thats cut off a freight boat and then I have a pot,1
got it,1
okay I have a fat crow a duck with two feet Loch Ness monster and then something with like a big triangle body,0
I got it,0
that was crazy okay I have a bird with a very big body and like a one little triangle foot okay one second,0
ok I have a like i said the bird with the big body and then I have the flamingo looking backwards and then I have the bird with the tiny head and then I have the last shape,0
nacho party,1
got it,1
okay a house with a hammer an upside down bowl and then sideways bowl,1
I got it,0
okay have a flying bird flying to to the south well not some salad flying up to the north I guess then I have crow and then I have a duck that grew two feet and then I have the crab,0
I have a speed boat the letter p or a stove thats holding a freight or no yeah a freight boat and then a cave seatbelt be free,1
I call it a Batman mask but I got it,0
a I have a seal a hummingbird a crab not crabs and a flamingo looking at the crab,1
nacho party sounds fun but I got it,0
okay I have a weird sailboat an iron a Chinese boat and cake,0
I got it I think the last one looks like a horse the long tail,1
ok I have a I have a blinkin desk so at his desk and then a blink in and then he playing tetris and then theyre chevron with there,0
its his desk and then Abe Lincoln,0
i see it i see,0
okay I have the model walking down wired the punter the weird upside down police man and a dog person,0
sorry can you say it again,0
got it,1
palm tree boat bridge triangle button,1
crab peacock flying bird,0
I got it,0
cave speedboat the christmas tree is speedboat going downward,1
is this like square part is that at the top for last one,0
okay got it,1
bunny tornado alpaca cat,1
got it,1
feather house russian sailboat,0
yeah feather house Russian sea or sailboat is the last one,0
got it,1
dragons flamingo sparrow flamingo flamingo ok the second flamingoes looking back the fourth flamingo is regular,1
got it,0
windmill  seal rocket ship birthday cake,0
got it,1
windmill Chinese bow hammer house,0
got it,1
I have a fat crow a raptor flying bird and a rooster,0
got it,1
bunny fish rocket ship cat,0
bunny  fish rocket ship cat,0
got it,1
salsa dancing lady model gymnasts with his legs split and then the runner,0
got it,1
a baseball field course so the long tail crab loch ness monster,0
got it,1
triangle guy waiter pregnant lady model,0
got it,1
triangle apple houseboat slope,0
got it,1
got it,1
okay I have a dog a crab it looks like to me a horse on two legs and its got a big tail and then the last shape,1
got it,0
teapot indian a cat no teapot indian iron and mountain sorry couldnt get that out,1
does the last one look like a hand puppet going downward,0
okay got it,0
I have the flamingo chicken with a long tail a bird with  or a duck with two feet and crab,0
got it,1
ok sorry it moved I have a fish I have an arrow going downward I have an ant eater it looks like an animal with no head okay fish arrow down ant eater slash animal no head and then a ram going to the right,0
got it,1
did you hit done,0
ok I have a dog a bunny a ram and then going to the left and then a whale,0
got it,1
mountain triangle square triangle with the cut outs Abraham Lincoln,1
got it,1
sometimes you have to hit speak and then hit re hit done um i have a palm tree a triangle a speed boat and then a sail boat,0
got it,1
okay I have a chicken with the long tail I have a bird with two feet a flying bird and then a rooster,0
I got it,1
ok I have the upside down butler thats holding a triangle I have the lady with an old fashioned dress whose holding a handkerchief but shes sideways I have the skydiving guy and then I have the same lady in the dress but shes upright,1
got it,1
I have a cat sitting down I had on I have a turtle and then I have pluto the dog,0
if you turn your head down it kind of looks like an indian like or it you turn your head to the right kind of looks like an indian,0
but I got it,0
okay I have home plate or what looks like kind of like home plate I have a slant downward I have a stove with a diamond cut out and then I have like a freight boat,0
an alpaca but I got it,0
okay I have a christmas tree I have a freight boat a pot and then a a parallelogram thats cut off,0
okay okay a fat crow I have a duck with two feet I have a loch ness monster and then I have like a peacock with a crouched neck,1
I have a like a big like sparrow bird I have a flamingo I have a flying bird with a small head and then I have like an upside down big loch ness monster,0
got it,1
I have the Russian the two sailed sailboat the three sailed sailboat and then like a another boat but its upside down,0
got it,1
flying bird upside down flamingo flamingo with its foot to the left loch ness monster,1
got it,1
got it,1
oh okay so the first one is the nacho bowl thats on its side its got two-- two doritos in it the second one is kind of like a sailboaty thing the third one is hot soup and the fourth ones a seal,0
okay I got a square body guy walking towards a model walking downward with a dog person that sideways but then he gets turned straight up,1
okay I have an apple on a boat a speedboat and then the sailboat chasing the speedboat and theres shes a letter b on the street below the speed boat,1
letter b below the sailboat so its apple speed speedboat sailboat b,1
got it,1
okay I have a hammer an avalanche a house with a rocket ship kind of and then a seal,0
I have a yacht an eraser a comb and a bridge,1
okay I got a desk on a christmas a three sailed sailboat and a one sailed sail boat,0
swan flamingo with a broken neck okay swan flamingo with a broken neck batman swimming and a crab,1
I have a tornado an airplane along a small loch ness monster and a dog,0
got it,0
I have a cliff a triangle bodied person a bit in apple and then a real apple,1
got it,0
I have a sailboat an arrow pointing its direction from chevron an upside down bowl,1
I got it,1
I have a skinny crow I have a crab I have batman swimming and I have a duck,0
got it,1
I have a model with its head to the right a model with its head to the left I have a guy reading a book and I have a dog person,1
I like to call him the pizza man,0
I have a dorito bowl an arc a slope and an arrow,1
got it,1
christmas trees slope fake apple palm tree,1
got it,0
I have a-- a candle um an unfinished desk a house with a rocket ship on it and hoof print,0
okay I have the russian the tree the desk and the sailboat,1
got it,1
I have flipper arm the butler thats going downwards that looks like he has a tail but um another like waiter me and kelsen called this the chillies waiter and then triangle body,1
got it,1
I have the square body the arrowhead and guy the flipper man and the waiter with the tail,1
got it,1
double arrow feather hoof print three sails,0
okay,1
triangle body fake apple home plate the letter b,0
bowl hot soup hammer seal bowl hot soup hammer seal,0
ok,1
flipper arm square dude pizza guy pregnant lady,0
got it,1
uh okay I have the crow the swan the flying bird and the duck,1
got it,1
I have the duck the flamingo the swan and the flying bird,1
I got it,0
speedboat triangle body triangle sailboat,1
got it,0
ok dog rocket ship Loch Ness monster fish,1
got it,1
got it,0
okay this triangle square is going over an avalanche theres a seal there cuase theyre in the antarctica and then theres like a little duck there too,1
got it,1
ok so theres this lumberjack with a hammer and he needs to know where to hammer so theres arrows and then hes building this house thats like got an arrow as a chimney and then he will goes build another house,0
is the first lumberjack standing like upwards,1
I got it,0
a house,1
okay my bad okay so theres two caves one is right side up another one is sideways and there is a pipe in this cave with an apple,1
got it,1
okay batman called for a pizza delivery man so the pizza delivery mans under him and then the triangle body wanted some pizza too so hes running towards the pizza guy and then the weird last shape,1
is it second,0
okay I got it,1
got it,1
got it,1
oh okay well theres half a christmas tree and then a triangle bodied guy on a boat a sailboat that goes under a bridge,0
got it,0
ok this guys running towards the right to a guy with the splits and then a guys kicking a football while a lady is also dancing,1
got it,1
okay I have a sailboat thats sailing away from a mountain an unfinished desk on top of a teepee,0
ok,0
dog fish bunny whale,0
okay I have a weird guy laying down with his arm up in the air I have a butler I have a square dude and a model,0
okay,0
i have a weird guy with the boob a somersault guy a butler with the tail and a lady with a handkerchief,1
I have a large flying bird and then a baby flying bird and then a seal and a crab,1
interesting,0
okay,1
its okay I missed mine too I have a crow a fat crow or no a skinny crow a flamingo a flamingo on its side and a fat crow,0
yes,1
I would agree,1
okay I have a small baby loch ness monster a fish or not a fish loch ness monster duck flying bird dragon,1
peacock,1
it is owh I have a rocket ship I have a horse with the long tail I have a ram or a goat and a crab,0
shes got that model strutt,0
I have a half dog half spider thing a rocket ship a loch ness monster Batman swimming and the chipmunk,0
got it,0
I have a fish a Batman swimming a turtle and a goat ,0
okay,1
ok I have a smaller dog thats going down I have a bigger dog thats going to the left I have an arrow going upward and a plane,1
its totally peacock,0
I have a ram a bunny a robot dog and a chipmunk,1
okay,1
I have this person flailing their arms behind them running to the left I have a lady with a handkerchief I have the butler with the tail and I have the upside down police man,0
that fit very well,1
I have a houseboat and a sailboat that are racing and Abraham Lincoln is going to sail the one thats faster but he needs a hammer or its a gavel to judge,0
dont call it stupid,1
I have a comb I have a three sided shape I have a nacho bowl and I have a speed boat,0
I got it,1
I have a rubber duck a swan a flamingo with a broken neck and a raptor,0
okay,1
I have a triangle timeout,1
okay I have to sneeze I have a triangle with cut outs I have a boat I have a bong and I have a vase so triangle boat bong vase,0
oh yeah,1
okay sounds like a party,1
I have a large sparrow I have a swan older Russell Crowe and a flamingo,1
okay,1
okay I have a ram or a goat I have a bunny an alpaca and the weird little animal,0
I call it a gymnast,1
I already did but I have a rocket ship I have a crab I have a lion pooping and I have a weird little shape,0
no it doesnt,1
no,1
it doesnt help,0
got it,1
I have the sailor hat the triangle body the triangle and this speedboat,0
got it,1
I have a houseboat half a christmas trees speedboat palm tree,0
yeah i have a houseboat a christmas tree a  speed boat and a palm tree,1
got it,1
I have a whale a ram a fish and a lochness monster,0
I have a person running up a lady with a handkerchief the arrowhead and then the butler on one leg,0
no youre fine I have the big guy running upward the lady with the handkerchief the arrowhead guy and then the butler on one foot,1
got it,1
I have the loch ness monster like going straight like right side and then downward and then the tornado and the kangaroo,0
got it,1
uh loch ness monster flamingo dragon  swan,0
got it,0
lochness monster tornado bunny arrow,1
got it,1
a hexagon sailboat  houseboat half a parallelogram,0
got it,1
a slope vase  cave slash yacht home plate the slope vase cave home plate,0
got it,1
I have tetris a christmas tree double arrow  candle no flame,0
got it,1
I have a house a sailboat on vast a candle,0
Im sorry can you say that again,0
I got it,0
okay I have this weird house shape the one thats right set up the sailboat the one thats like sideways and then I have a bowl,1
I got it,1
I have a swan dragon crab flying bird,0
okay got it,1
I have a yacht the sailboat the pipe and the bong,0
got it,1
okay I have the arrowhead guy the upside down butler the guy kicking a football and then the model walking downward,1
got it,0
raptor flying bird going to the left upside down flying bird going to the right and then the small flying bird,1
got it,1
um unlit candle bow with a cargo hammer Eiffel Tower,1
got it,1
I have the seal the rooster the loch ness monster and the raptor,1
got it,0
the triangle body vase cat head in a parallelogram,1
got it,1
fish dog loch ness monster ram,1
okay got it,0
I have the square body guy the guy running to the left the model walking to the right and the race car dude going up,1
got it,0
crab hummingbird duck with two feet crow,0
got it,1
police guy with his hand up lady with anger chief triangle body and then big guy running to the right,0
yeah police man with his hand out lady with anger chief triangle body and the guy running towards the right,1
got it,1
fox with a tail bunny loch ness monster ram,0
got it,1
I have the square bodied guy the model walking down the guy with the triangle body running to the right and then that weird shape,0
okay,1
ok can can okay,0
ok i have a tornado a horse with a bushy tail a dog running towards the chipmunk,0
got it,1
I have a crab a flamingo a raptor and a loch ness,1
got it,1
I have a cat riding on an alpaca then theres a rocket ship and a bear,0
got it,1
I have a duck who grew two feet a loch ness monster a flamingo that broke its neck and a seal,0
I have the chip bowl the pipe the yacht and the scissors,0
got it,1
okay I believe okay I have a tortoise a kangaroo a sting ray and a crab,0
apparently I do but I got it,1
okay I have a yacht that gets stopped by a crab then theres a three three sided shape and a freight boat,0
okay Batman and then the bird house guy I think and then the ice skater and then the waiter,0
yup,1
wait what a dog the rocket ship the fish and Batman swimming,0
I didnt hear you,0
ok I got it,1
ok I have a bridge a slanted shape a rocket ship and the letter no not a rocket ship bridge parallelogram speedboat and the letter c,0
okay I have a gymnast with his legs split apart I have batman I have a ninja and a model,0
he is,0
I dont see Abraham Lincoln but I got it,1
I have a speedboat a milk jug a cats head and a dorito bowl,0
definitely a barn,1
I have a Russian guy a barn a duck and then right side up Russian guy,0
it has to be glass,0
I have a guy flailing their arms while theyre running vigorously to the left I have a chilis worker I have a lady with a handkerchief and I have a guy doing the stinky leg,0
ok,1
no I dont do that but my mom does I got a pipe a cat head a rubpee ruby whatever and a houseboat,0
okay,1
i have a seal i have chevron i have a christmas tree and i have an avalanche i guess you call this abraham lincoln,0
no but but lets continue,0
okay I have a square guy then I have a bike person and I have a model and a pregnant fish,0
okay,1
I have a triangle body a dorito a sideways dorito bowl a comb and a bridge,0
okay,1
i have a punter a ice skater a salsa dancing later a salsa dancing lady and a gymnast,1
yeah I got a punter an ice skater a salsa dancing lady and a gymnast,0
okay I have a sailboat a pot a pipe and an arrow,1
got it,0
ok I didnt I have a pot thats upward I have a pot thats like sideways a hammer and then a boat,1
okay for the second and third one does the does the one kind of look like pluto the dog with like the two like ears and the mouth going towards the right,1
okay got it then mines stuck now too,0
didnt have it okay I have a big flying bird a duck with two feet a crab and then a crow,1
got it,1
got it,1
ok I have a guy that has his legs spread apart I have a guy in like a race car like a go kart going upward I have a person walking downward and then I have this weird shaped its like a pair of parallelogram off to the left,1
got it,0
I have a yacht an arrow a sailboat and then a trapezoid,1
got it,0
I have a sailboat oh ah no,1
there we go I have an alpaca a chipmunk a loch ness monster and then like a horse with a big tail,0
um it has a big triange,0
yes,0
ohh fancy got it,1
ok I have a loch ness monster chipmunk a um bird or not a bird fish and then Morgan said this kind of looks like Aslan the lion I dont know,0
got it,0
I have the alpaca the rocket ship going sideways the whale and then the ram,1
got it,0
flying bird loch ness monster going down big bird and then crab,1
can you say that again,1
got it,0
I have the pot the iron the windmill and the seal,1
got it,1
pipe upright pipe sideways upside down sailboat half christmas tree,0
yeah a pipe that straight up a pipe that sideways upside down sailboat and a half christmas tree,1
got it,0
